,business_id,cat
0,173423,6
3,45614,6
6,6283,6
9,5838,6
12,184796,6
24,162829,6
28,31098,6
35,734,6
103,157461,6
106,141204,6
129,152737,6
170,19020,6
175,2793,6
193,179563,6
196,2205,6
199,52859,6
202,151539,6
206,144289,6
352,160771,6
369,68574,6
372,11447,6
394,9500,6
412,83071,6
424,3185,6
446,63653,6
453,142496,6
470,129790,6
481,103542,6
484,13742,6
487,113439,6
509,184848,6
606,171490,6
657,49722,6
684,183181,6
729,76400,6
747,168345,6
752,101310,6
761,15738,6
807,148147,6
839,84538,6
877,81474,6
890,92830,6
904,107916,6
918,73604,6
926,161269,6
940,45141,6
944,20975,6
951,142139,6
962,171925,6
993,158199,6
1015,129254,6
1024,147517,6
1027,158176,6
1047,74603,6
1073,158996,6
1107,41342,6
1114,61904,6
1123,138551,6
1188,151457,6
1194,136858,6
1202,172225,6
1301,127214,6
1388,138688,6
1398,70982,6
1406,128822,6
1411,44803,6
1415,123333,6
1419,129986,6
1452,104068,6
1494,140749,6
1499,46758,6
1507,55100,6
1530,185740,6
1537,76925,6
1543,102590,6
1581,9300,6
1585,151747,6
1594,113389,6
1599,65704,6
1624,60585,6
1648,182715,6
1652,51415,6
1659,42017,6
1668,57881,6
1684,171622,6
1697,49036,6
1842,180565,6
1857,91809,6
1905,86208,6
1931,169180,6
1940,78634,6
2003,84387,6
2011,95781,6
2018,109876,6
2027,63085,6
2043,60318,6
2060,9022,6
2073,149973,6
2085,68896,6
2137,175511,6
2147,19395,6
2246,10651,6
2262,56697,6
2265,106096,6
2268,49201,6
2289,53553,6
2307,51754,6
2370,83801,6
2380,113623,6
2409,73075,6
2446,115172,6
2461,23415,6
2479,82429,6
2485,42716,6
2503,102518,6
2536,26232,6
2549,69220,6
2570,110890,6
2581,189415,6
2590,86177,6
2595,157710,6
2641,130661,6
2647,190911,6
2712,185110,6
2733,40932,6
2747,14051,6
2760,50864,6
2765,177881,6
2778,165230,6
2786,61246,6
2805,166401,6
2813,95978,6
2827,158049,6
2836,102728,6
2858,146513,6
2869,51165,6
2921,156857,6
2942,41108,6
2976,161034,6
3037,33313,6
3060,77445,6
3070,146416,6
3092,26909,6
3102,96659,6
3108,81812,6
3124,186933,6
3150,74519,6
3164,119431,6
3168,104687,6
3175,52789,6
3188,94144,6
3195,48674,6
3204,184472,6
3214,58130,6
3219,113503,6
3223,131526,6
3240,105006,6
3251,19863,6
3255,5718,6
3290,103009,6
3301,181872,6
3305,53872,6
3338,142782,6
3346,80109,6
3369,149669,6
3394,188169,6
3410,85596,6
3500,52172,6
3543,36096,6
3570,120018,6
3588,43884,6
3592,42948,6
3598,139305,6
3607,177535,6
3628,63934,6
3633,84428,6
3642,76185,6
3694,170214,6
3702,113289,6
3706,189959,6
3713,107833,6
3716,161642,6
3721,136377,6
3726,131309,6
3730,62820,6
3743,135361,6
3761,559,6
3765,70755,6
3782,9921,6
3792,190564,6
3801,158314,6
3819,99444,6
3823,16342,6
3839,163359,6
3868,15528,6
3888,17726,6
3904,53672,6
3914,29032,6
3921,93514,6
3932,95537,6
3935,42316,6
3952,27963,6
3958,53809,6
3977,180513,6
3980,2078,6
3983,51501,6
3994,1333,6
4007,100497,6
4014,152700,6
4017,116714,6
4066,138324,6
4070,37636,6
4075,28896,6
4085,132329,6
4097,131390,6
4106,19593,6
4109,54158,6
4121,109871,6
4126,86292,6
4135,192160,6
4139,53459,6
4144,29104,6
4150,55732,6
4154,99719,6
4165,39042,6
4189,45810,6
4210,19224,6
4256,124342,6
4261,190446,6
4265,64638,6
4270,37049,6
4276,4637,6
4284,108740,6
4297,73113,6
4321,109104,6
4325,70603,6
4342,112627,6
4346,108768,6
4352,37012,6
4359,74623,6
4372,97624,6
4377,132298,6
4394,42001,6
4397,180322,6
4460,101857,6
4498,15803,6
4517,64155,6
4533,122842,6
4546,32696,6
4557,29880,6
4620,50029,6
4628,31703,6
4633,160181,6
4650,100311,6
4660,118071,6
4669,143267,6
4682,53270,6
4693,36252,6
4708,166706,6
4719,125281,6
4826,173009,6
4829,63364,6
4838,47146,6
4849,83743,6
4854,125216,6
4863,122299,6
4867,132532,6
4874,116440,6
4877,58804,6
4886,34985,6
4913,117988,6
4916,76810,6
4929,87911,6
4932,127781,6
4937,25402,6
4956,94079,6
4960,99017,6
4963,35164,6
4966,118516,6
4971,87312,6
4976,170591,6
4979,170524,6
4982,635,6
5019,109484,6
5028,159656,6
5034,120211,6
5046,130751,6
5049,127177,6
5069,84533,6
5092,58078,6
5108,140834,6
5112,139687,6
5117,129507,6
5124,80387,6
5128,59894,6
5145,93200,6
5148,36171,6
5163,89739,6
5175,12904,6
5180,164119,6
5185,56326,6
5191,51991,6
5195,171046,6
5203,149763,6
5237,26325,6
5241,6156,6
5244,66404,6
5292,127420,6
5295,141528,6
5330,53233,6
5333,113966,6
5336,35846,6
5351,26133,6
5359,191287,6
5363,118580,6
5368,60070,6
5378,140183,6
5382,161949,6
5388,13124,6
5396,27313,6
5412,176931,6
5418,188552,6
5423,111730,6
5447,150040,6
5496,32709,6
5500,81090,6
5528,6449,6
5542,97109,6
5564,76406,6
5568,165443,6
5573,20977,6
5584,92780,6
5591,119873,6
5594,3044,6
5601,128209,6
5610,109713,6
5613,99146,6
5618,44414,6
5628,104579,6
5631,159299,6
5636,141542,6
5640,152369,6
5644,126923,6
5657,151141,6
5670,138736,6
5675,100392,6
5681,154677,6
5693,77798,6
5735,80418,6
5778,3055,6
5791,119844,6
5904,92818,6
5952,145186,6
5955,157007,6
5967,48064,6
6024,118136,6
6084,153405,6
6087,37555,6
6091,175451,6
6094,39721,6
6122,12667,6
6169,20209,6
6216,77050,6
6231,40499,6
6296,35649,6
6322,123888,6
6332,88314,6
6362,132311,6
6365,22714,6
6382,89265,6
6387,32588,6
6401,107730,6
6405,107545,6
6408,152994,6
6413,67136,6
6418,10669,6
6527,173448,6
6531,166223,6
6535,7099,6
6541,77116,6
6545,115981,6
6551,166225,6
6611,219,6
6647,55632,6
6651,149141,6
6675,116398,6
6697,96261,6
6730,136202,6
6765,5439,6
6770,157089,6
6883,87563,6
6907,183186,6
6910,15558,6
6913,125594,6
6925,76774,6
6939,171661,6
7016,7529,6
7023,153774,6
7037,127025,6
7040,84327,6
7048,145783,6
7056,171142,6
7062,130950,6
7068,183031,6
7117,166940,6
7144,9398,6
7162,61300,6
7175,145181,6
7181,19337,6
7218,119319,6
7230,19033,6
7240,177712,6
7245,91170,6
7267,20308,6
7281,22923,6
7305,153232,6
7320,20734,6
7334,34259,6
7373,93851,6
7377,13355,6
7382,64247,6
7390,71160,6
7404,63005,6
7415,34331,6
7450,153767,6
7453,137840,6
7457,152605,6
7460,90947,6
7466,170923,6
7485,37816,6
7488,93888,6
7495,122429,6
7498,43674,6
7597,153353,6
7639,187471,6
7698,72335,6
7707,135013,6
7727,157471,6
7735,2383,6
7754,153416,6
7757,118239,6
7803,10946,6
7818,152083,6
7823,132609,6
7830,29230,6
7833,21633,6
7866,20179,6
7869,104474,6
7872,157186,6
7884,113545,6
7936,133697,6
7939,137489,6
8023,22381,6
8042,170934,6
8227,39039,6
8233,14867,6
8237,131043,6
8287,99988,6
8291,125426,6
8294,167662,6
8297,53053,6
8346,3566,6
8400,66137,6
8404,53775,6
8407,118965,6
8412,52502,6
8459,170136,6
8513,55717,6
8534,2707,6
8569,129835,6
8573,62465,6
8595,137651,6
8612,186072,6
8664,186161,6
8672,164861,6
8675,83284,6
8681,72011,6
8689,174398,6
8702,25645,6
8707,93740,6
8750,139883,6
8889,116692,6
8913,180272,6
8927,3288,6
9050,178118,6
9059,183628,6
9234,122871,6
9254,87602,6
9258,69093,6
9366,159224,6
9383,102979,6
9388,42907,6
9392,170556,6
9580,70498,6
9587,17829,6
9596,26575,6
9601,89808,6
9772,29336,6
9780,113393,6
9787,15447,6
9792,187846,6
9837,176772,6
9847,68989,6
9851,44463,6
9861,141904,6
9871,136826,6
9900,180101,6
9904,170212,6
9914,19175,6
9920,129384,6
9925,104464,6
9941,7534,6
9968,136291,6
9975,136482,6
9980,106131,6
10084,179174,6
10088,44955,6
10091,165673,6
10105,34788,6
10111,9864,6
10128,117787,6
10151,77235,6
10155,164364,6
10161,110464,6
10166,76805,6
10171,50314,6
10283,184143,6
10301,133609,6
10305,139535,6
10309,6660,6
10324,41328,6
10340,155202,6
10343,31622,6
10347,68838,6
10351,171423,6
10359,107285,6
10364,126637,6
10373,31042,6
10393,192287,6
10400,121732,6
10413,97019,6
10416,81440,6
10421,160377,6
10431,61085,6
10438,25872,6
10445,104209,6
10448,48609,6
10466,191203,6
10470,162666,6
10481,77386,6
10484,163917,6
10501,20909,6
10508,46042,6
10511,49662,6
10541,56636,6
10544,27652,6
10550,183800,6
10559,61358,6
10565,157849,6
10571,13341,6
10574,27931,6
10582,65720,6
10585,537,6
10588,177564,6
10591,119866,6
10596,175200,6
10599,120170,6
10619,66197,6
10632,43649,6
10639,59711,6
10649,71629,6
10656,86531,6
10659,21830,6
10674,26221,6
10678,52531,6
10683,168122,6
10735,88635,6
10739,185341,6
10747,68412,6
10759,141252,6
10765,105123,6
10802,168440,6
10824,53428,6
10827,22843,6
10832,106356,6
10848,106068,6
10870,126697,6
10873,75034,6
10909,98248,6
10912,69887,6
10915,133594,6
10920,102655,6
10930,21065,6
10938,61720,6
10941,83786,6
10945,19608,6
10956,180395,6
10960,7903,6
10970,44858,6
10973,56287,6
10979,82250,6
10984,59779,6
10990,62147,6
10994,78477,6
11000,27886,6
11006,41268,6
11033,119249,6
11044,118583,6
11047,178061,6
11051,16710,6
11055,45972,6
11060,121163,6
11085,156850,6
11089,140744,6
11092,2310,6
11096,61251,6
11110,192229,6
11114,18806,6
11119,70250,6
11125,189638,6
11134,30947,6
11140,126233,6
11156,92827,6
11164,18567,2
11174,45714,2
11177,137604,2
11180,82064,2
11183,157097,2
11186,181677,2
11190,15984,2
11193,130253,2
11196,125028,2
11200,87527,2
11203,9076,2
11206,84855,2
11209,191265,2
11217,112952,2
11222,81334,2
11225,47845,2
11228,69745,2
11231,25041,2
11237,181011,2
11240,53694,2
11243,103949,2
11246,140226,2
11252,111513,2
11257,124170,2
11262,99186,2
11265,106788,2
11268,17512,2
11272,182172,2
11277,61481,2
11281,126876,2
11286,28935,2
11292,76362,2
11295,141908,2
11298,128192,2
11303,110148,2
11306,49334,2
11320,188242,2
11324,181809,2
11336,89047,2
11343,78147,2
11365,61469,2
11376,180090,2
11409,122010,2
11446,12116,2
11467,173471,2
11486,187807,2
11491,64134,2
11516,122228,2
11531,42953,2
11540,175400,2
11551,30067,2
11573,164979,2
11579,52968,2
11595,21577,2
11601,32355,2
11612,137257,2
11630,91661,2
11644,159475,2
11662,158235,2
11679,89687,2
11701,94786,2
11715,43059,2
11735,184635,2
11753,149593,2
11763,182669,2
11780,128198,2
11809,144428,2
11822,126110,2
11841,42579,2
11860,136400,2
11900,103319,2
11919,91683,2
11934,115326,2
11948,130068,2
11968,182022,2
11980,4088,2
11986,120511,2
11990,53424,2
12004,159227,2
12017,162632,2
12064,15177,2
12099,43135,2
12108,167535,2
12147,179406,2
12168,6286,2
12195,164916,2
12203,130369,2
12215,71105,2
12226,160188,2
12230,63067,2
12239,166467,2
12246,133999,2
12261,64169,2
12284,150618,2
12298,99203,2
12331,71673,2
12351,74566,2
12354,153191,2
12362,23625,2
12372,42627,2
12382,79052,2
12412,90918,2
12435,114193,2
12452,137284,2
12470,189551,2
12483,58565,2
12495,100703,2
12521,26479,2
12543,86628,2
12569,112228,2
12583,15306,2
12591,48417,2
12602,159594,2
12624,110321,2
12637,50007,2
12667,168536,2
12689,114521,2
12695,126846,2
12716,163612,2
12727,34511,2
12739,24779,2
12773,8475,2
12780,95293,2
12809,172879,2
12827,64783,2
12852,57692,2
12881,17023,2
12886,19468,2
12907,89256,2
12922,187191,2
12944,108062,2
12954,189694,2
12973,20035,2
12988,102810,2
12991,249,2
13012,113200,2
13021,99358,2
13025,25505,2
13049,168756,2
13062,178190,2
13082,176747,2
13086,114864,2
13093,80508,2
13104,175409,2
13116,56128,2
13136,147233,2
13153,124308,2
13173,7589,2
13177,53454,2
13200,73881,2
13249,58807,2
13265,9776,2
13293,185349,2
13321,6471,2
13332,126553,2
13352,113878,2
13359,185463,2
13384,53055,2
13392,140959,2
13405,142236,2
13412,176004,2
13421,62468,2
13434,85208,2
13455,110792,2
13469,140747,2
13482,66869,2
13500,120960,2
13546,106570,2
13560,108123,2
13585,5690,2
13607,6033,2
13632,97982,2
13647,153906,2
13675,67309,2
13713,140052,2
13729,39763,2
13755,158634,2
13759,50501,2
13785,81370,2
13798,21829,2
13805,88412,2
13814,164078,2
13833,72389,2
13856,184819,2
13867,31239,2
13894,5473,2
13908,99018,2
13914,68532,2
13918,61542,2
13959,179342,2
13962,133572,2
13987,42775,2
14001,174840,2
14017,2503,2
14038,136684,2
14045,169778,2
14073,50057,2
14094,106678,2
14116,23555,2
14140,73735,2
14161,152495,2
14179,116042,2
14195,41160,2
14199,116916,2
14211,84772,2
14231,79950,2
14259,184650,2
14279,163489,2
14304,58908,2
14311,159924,2
14331,29182,2
14351,133517,2
14377,3641,2
14399,71621,2
14414,144773,2
14428,1891,2
14431,127005,2
14450,45019,2
14454,85725,2
14466,35552,2
14487,14220,2
14492,24687,2
14495,124593,2
14498,133512,2
14501,131252,2
14506,168295,2
14521,118745,2
14531,20652,2
14541,140635,2
14556,130556,2
14559,187239,2
14563,55058,2
14568,45389,2
14579,15028,2
14592,6582,2
14605,186646,2
14635,8391,2
14647,114269,2
14654,135869,2
14675,8887,2
14678,122048,2
14698,112319,2
14731,85089,2
14735,174489,2
14748,33290,2
14753,21498,2
14756,125814,2
14774,151128,2
14785,18218,2
14809,137353,2
14813,160154,2
14823,151553,2
14847,22002,2
14856,120317,2
14860,76107,2
14910,124016,2
14918,80325,2
14961,16963,2
14980,66311,2
14995,56454,2
15013,76427,2
15045,50682,2
15051,87193,2
15057,181992,2
15066,23035,2
15082,85723,2
15111,147757,2
15133,101417,2
15137,43201,2
15151,168575,2
15163,89266,2
15167,189552,2
15175,110157,2
15181,67077,2
15189,191475,2
15205,71269,2
15210,72064,2
15215,110644,2
15220,62694,2
15223,164795,2
15231,162870,2
15242,173102,2
15252,123625,2
15264,145806,2
15280,54401,2
15290,12997,2
15314,29384,2
15318,179042,2
15332,182184,2
15340,35334,2
15343,82730,2
15354,123058,2
15358,102345,2
15364,17967,2
15372,187923,2
15394,41829,2
15419,156175,2
15422,112176,2
15427,49218,2
15466,100061,2
15473,148064,2
15494,164815,2
15511,140988,2
15520,171359,2
15525,53768,2
15536,150895,2
15542,98463,2
15552,157601,2
15565,73089,2
15589,165490,2
15605,121635,2
15616,166796,2
15622,54195,2
15632,73986,2
15682,48147,2
15711,134731,2
15742,185149,2
15767,10947,2
15800,146340,2
15821,119097,2
15825,94961,2
15866,140006,2
15907,135970,2
15969,7599,2
16000,17906,2
16034,129709,2
16081,5268,2
16132,136397,2
16197,89516,2
16266,121727,2
16291,70241,2
16333,59556,2
16350,69298,2
16363,76359,2
16402,40256,2
16441,57110,2
16470,69390,2
16493,170233,2
16502,113077,2
16509,71326,2
16540,166958,2
16568,84457,2
16606,116673,2
16619,153076,2
16636,53567,2
16720,150800,2
16764,49150,2
16857,23082,2
16880,72168,2
16902,144980,2
16946,116641,2
16964,178491,2
17008,29504,2
17015,93842,2
17074,41752,2
17101,10425,2
17129,27516,2
17150,88973,2
17213,37651,2
17277,56641,2
17329,60969,2
17353,54390,2
17402,120678,2
17441,28892,2
17466,152303,2
17568,29226,2
17718,37265,2
17724,152066,2
17747,113702,2
17813,147344,2
17833,8045,2
17865,163949,2
17893,110467,2
17913,113831,2
17947,97203,2
18003,39162,2
18019,185385,2
18056,151716,2
18086,31821,2
18122,32582,2
18135,187059,2
18169,90619,2
18204,115528,2
18267,145655,2
18285,38121,2
18318,7116,2
18339,58591,2
18387,160779,2
18390,171469,2
18406,134509,2
18417,16346,2
18453,3074,2
18529,34667,2
18569,143388,2
18609,151108,2
18641,67785,2
18670,41001,2
18675,31347,2
18746,47934,2
18813,16874,2
18848,110830,2
18903,4814,2
18910,113646,2
18943,77600,2
18966,102261,2
19017,106448,2
19033,41596,2
19098,69297,2
19130,158070,2
19149,24563,2
19166,7828,2
19246,146056,2
19272,11094,2
19313,27340,2
19402,150630,2
19446,168511,2
19458,135567,2
19510,137713,2
19553,135121,2
19596,94371,2
19627,134698,2
19630,144097,2
19635,184020,2
19641,17372,2
19644,172526,2
19648,142503,2
19657,61851,2
19661,75861,2
19664,147413,2
19669,87732,2
19672,137910,2
19682,49881,2
19691,36717,2
19698,156250,2
19710,64616,2
19722,95895,2
19726,113280,2
19734,52393,2
19737,178026,2
19740,72618,2
19743,59122,2
19748,19957,2
19754,69979,2
19757,60926,2
19764,51505,2
19775,40324,2
19786,184539,2
19791,108093,2
19800,3388,2
19805,34119,2
19815,77961,2
19820,159517,2
19824,102226,2
19843,127326,2
19847,133021,2
19860,70836,2
19866,177879,2
19870,163802,2
19873,42094,2
19876,146508,2
19880,129107,2
19889,120261,2
19894,81551,2
19899,132945,2
19902,144443,2
19906,57589,2
19915,18317,2
19919,80565,2
19923,174263,2
19928,9831,2
19942,89992,2
19956,27818,2
19984,182961,2
19993,3060,2
20008,191941,2
20011,157347,2
20014,96206,2
20022,187666,2
20026,80413,2
20035,12468,2
20041,134283,2
20045,57508,2
20054,93977,2
20063,75378,2
20067,153050,2
20071,52986,2
20085,127955,2
20093,152711,2
20102,110283,2
20107,11347,2
20110,175884,2
20116,43197,2
20119,191803,2
20122,79946,2
20136,9081,2
20143,155972,2
20148,186711,2
20152,149222,2
20156,51996,2
20162,25010,2
20172,24560,2
20185,162508,2
20193,127529,2
20203,55461,2
20207,99340,2
20212,169007,2
20215,49251,2
20221,174857,2
20228,44130,2
20233,188473,2
20238,168599,2
20242,14044,2
20249,137649,2
20256,69080,2
20264,125970,2
20269,18934,2
20274,95113,2
20277,58825,2
20280,130916,2
20292,126831,2
20298,12164,2
20318,179137,2
20321,28116,2
20328,76874,2
20338,13374,2
20341,146080,2
20345,112530,2
20349,2672,2
20355,8879,2
20363,84643,2
20369,141146,2
20376,25330,2
20381,122748,2
20384,40411,2
20405,84793,2
20408,5237,2
20411,55347,2
20416,47372,2
20424,139172,2
20430,72553,2
20441,102350,2
20447,141950,2
20452,142577,2
20455,110095,2
20460,77352,2
20469,161394,2
20480,110565,2
20487,43093,2
20492,15411,2
20497,190836,2
20504,133004,2
20511,181087,2
20523,130809,2
20526,31834,2
20532,73219,2
20540,29634,2
20545,189946,2
20549,126532,2
20552,101634,2
20555,190277,2
20563,190874,2
20575,97972,2
20578,46838,2
20586,54332,2
20589,154564,2
20593,145908,2
20597,62311,2
20600,172366,2
20608,96875,2
20615,151172,2
20623,31594,2
20629,180530,2
20635,22972,2
20644,124585,2
20650,182170,2
20653,1337,2
20656,48342,2
20661,8470,2
20664,141937,2
20672,64670,2
20680,12295,2
20683,105460,2
20688,91865,2
20691,88038,2
20696,142353,2
20699,191627,2
20707,14645,2
20714,89432,2
20718,48238,2
20725,44545,2
20729,95169,2
20743,75442,2
20746,96970,2
20749,5387,2
20752,106503,2
20756,110486,2
20759,56748,2
20765,21532,2
20770,173189,2
20779,85020,2
20782,176637,2
20787,104000,2
20790,142414,2
20804,118428,2
20820,188098,2
20825,176361,2
20831,54724,2
20838,61929,2
20850,155414,2
20862,3957,2
20866,190520,2
20879,185873,2
20886,100561,2
20907,134846,2
20910,179416,2
20921,14656,2
20924,19729,2
20927,4820,2
20930,134189,2
20940,30365,2
20953,105130,2
20958,60375,2
20968,169617,2
20973,155483,2
20977,122217,2
20986,127970,2
20996,66146,2
21005,3829,2
21008,109072,2
21020,184839,2
21023,187494,2
21027,103950,2
21030,179269,2
21033,183345,2
21036,184883,2
21043,179981,2
21051,160528,2
21054,3446,2
21063,179355,2
21066,22188,2
21072,66555,2
21075,38235,2
21078,107457,2
21083,147163,2
21091,95095,2
21134,97032,2
21138,106564,2
21152,74745,2
21165,113086,2
21168,38391,2
21172,134433,2
21175,101264,2
21182,162187,2
21187,7014,2
21190,75035,2
21203,25719,2
21214,188964,2
21217,122825,2
21220,139341,2
21235,81446,2
21241,173099,2
21245,1435,2
21256,150099,2
21259,130462,2
21269,117165,2
21274,10350,2
21277,37978,2
21282,158138,2
21285,26940,2
21307,178010,2
21311,55034,2
21315,70316,2
21319,182443,2
21328,58576,2
21332,56897,2
21335,129746,2
21338,161000,2
21343,180297,2
21361,99660,2
21376,3354,2
21381,128204,2
21385,128766,2
21388,2900,2
21391,253,2
21394,47134,2
21399,102301,2
21406,90623,2
21420,150847,2
21428,73165,2
21435,155611,2
21439,75797,2
21461,173898,2
21466,100170,2
21470,141248,2
21476,123627,2
21483,118724,2
21500,110801,2
21503,161718,2
21506,143231,2
21514,176955,2
21522,41003,2
21534,2496,2
21539,3228,2
21548,101772,2
21551,118373,2
21556,165641,2
21559,66255,2
21565,123817,2
21575,128655,2
21580,65911,2
21589,139672,2
21594,33417,2
21624,26240,2
21637,74393,2
21640,138636,2
21661,55369,2
21665,175773,2
21688,165956,2
21694,25,2
21700,126189,2
21709,24186,2
21713,62547,2
21730,18362,2
21752,75926,2
21755,135061,2
21763,79608,2
21781,73926,2
21785,46116,2
21795,113991,2
21803,186064,2
21816,108387,2
21819,42591,2
21831,126621,2
21838,120855,2
21846,44202,2
21856,48032,2
21862,108525,2
21871,142825,2
21925,29160,2
21938,29202,2
21946,105972,2
21951,165239,2
21954,147744,2
21984,169926,2
21991,166752,2
21995,129151,2
22000,105341,2
22004,174323,2
22014,152510,2
22017,189642,2
22021,91295,2
22026,53284,2
22029,86475,2
22032,178671,2
22035,121110,2
22038,76868,2
22041,16231,2
22044,47847,2
22047,75950,2
22051,169757,2
22054,60781,2
22057,59369,2
22061,135160,2
22066,145002,2
22072,45853,2
22076,114441,2
22085,50334,2
22099,25043,2
22113,62678,2
22118,71549,2
22127,46954,2
22133,115884,2
22140,44860,2
22162,59092,2
22182,66925,2
22188,49835,2
22199,165618,2
22204,10486,2
22208,97949,2
22221,137370,2
22227,90235,2
22235,2937,2
22239,31285,2
22246,79439,2
22254,22141,2
22258,44349,2
22269,108923,3
22276,115622,3
22282,192567,3
22292,101667,3
22304,144360,3
22312,54161,3
22315,119021,3
22323,150071,3
22328,149821,3
22332,119327,3
22339,65405,3
22343,178401,3
22350,29841,3
22356,149907,3
22360,175306,3
22365,135286,3
22371,42309,3
22376,192499,3
22381,98665,3
22387,176935,3
22396,87212,3
22404,73783,3
22407,93892,3
22412,148510,3
22417,136197,3
22420,66498,3
22441,67328,3
22454,168970,3
22463,115375,3
22469,183849,3
22473,26302,3
22478,118761,3
22487,134948,3
22504,38713,3
22508,25937,3
22513,73448,3
22517,67907,3
22525,114000,3
22528,170750,3
22533,93253,3
22542,10193,3
22547,14524,3
22550,60724,3
22557,58052,3
22560,36676,3
22579,24984,3
22583,102049,3
22586,16150,3
22590,81615,3
22596,47348,3
22601,12196,3
22608,65509,3
22620,89956,3
22651,41114,3
22658,117863,3
22672,54765,3
22682,83707,3
22685,108639,3
22690,180970,3
22693,54936,3
22698,66557,3
22705,164031,3
22708,60809,3
22712,36160,3
22715,127430,3
22719,120652,3
22724,180288,3
22728,87948,3
22736,125363,3
22747,130486,3
22750,139416,3
22754,92330,3
22758,119601,3
22768,162839,3
22779,20172,3
22782,184583,3
22789,157226,3
22794,30453,3
22797,145269,3
22802,105793,3
22808,57882,3
22816,9476,3
22820,113215,3
22827,24180,3
22833,1248,3
22841,130777,3
22848,120413,3
22851,55399,3
22856,2104,3
22860,69400,3
22863,136967,3
22867,58431,3
22870,171273,3
22880,110182,3
22886,164237,3
22890,113497,3
22895,108701,3
22904,6869,3
22909,152304,3
22913,131514,3
22920,178487,3
22927,184208,3
22941,169600,3
22944,68162,3
22956,46768,3
22959,32470,3
22963,60961,3
22971,77588,3
22982,81212,3
22987,156357,3
23000,146704,3
23003,139030,3
23012,37776,3
23020,105820,3
23029,146530,3
23034,76894,3
23042,140270,3
23069,101800,3
23074,139769,3
23083,75610,3
23092,135797,3
23096,184092,3
23100,185859,3
23108,44953,3
23116,108488,3
23121,98634,3
23128,166305,3
23134,153403,3
23140,160242,3
23143,177532,3
23146,142808,3
23153,132930,3
23175,50948,3
23237,50476,3
23285,111812,3
23306,81918,3
23358,138090,3
23364,173266,3
23422,152674,3
23479,157551,3
23484,1595,3
23529,9679,3
23540,5522,3
23600,84862,3
23700,43242,3
23823,85319,3
23887,23021,3
23919,67739,3
23952,56617,3
23958,29228,3
23962,35995,3
23988,45961,3
23994,144372,3
24062,139878,3
24123,149352,3
24126,16637,3
24194,127953,3
24241,31901,3
24270,159209,3
24329,188907,3
24336,124587,3
24408,109761,3
24413,161543,3
24438,33746,3
24495,18757,3
24528,128474,3
24533,25876,3
24538,175412,3
24550,66857,3
24656,105318,3
24765,16203,3
24777,25669,3
24859,103678,3
24862,60554,3
24902,44700,3
24919,139289,3
24972,177867,3
24978,114339,3
24982,63969,3
25049,47018,3
25090,102782,3
25171,21043,3
25180,110260,3
25243,71350,3
25290,104212,3
25293,67618,3
25309,109772,3
25317,162272,3
25381,159155,3
25447,192136,3
25518,88769,3
25569,104984,3
25589,185707,3
25702,147760,3
25724,32141,3
25727,9523,3
25730,190657,3
25770,169098,3
25807,64683,3
25858,136524,3
25871,162489,3
25876,134762,3
25980,64385,3
26069,152865,3
26109,145800,3
26116,9904,3
26123,176275,3
26170,106961,3
